ride_id,trip_time,trip_dist,plan_id,hr_start,dow,time_slot,batt_perc,dist_h,price,start_location_id,lat,lng,end_location_id,lat,lng
212033,31.24566785,3.2,Intro_Pro,8,1,1,0.347428571,0.228786858,2,13,37.798434,-122.409468,58,37.75714,-122.41164
212034,94.59467137,3.3,Intro_Pro,8,1,1,0.919811321,0.479707636,8,10,37.764729,-122.42069,10,37.764729,-122.42069
212035,24.58794202,4.4,Pro,8,1,1,0.712,0.095462938,2,40,37.762109,-122.472704,85,37.780241,-122.418011
212043,30.57127865,2.5,Pro,8,1,1,0.769541779,0.198017575,2,61,37.777954,-122.439369,29,37.790226,-122.406267
212044,30.24192085,4.8,Pro,9,1,1,0.429919137,0.141978341,2,117,37.784315,-122.465617,3,37.776114,-122.396138
212045,14.17468677,2.4,Pro,9,1,1,0.769541779,0.215478787,2,80,37.770631,-122.450446,85,37.780241,-122.418011
212048,20.52689242,2.3,Go,9,1,1,1,0.153849676,4,24,37.784869,-122.432832,10,37.764729,-122.42069
212050,46.03996127,3.1,Intro_Pro,9,1,1,1,0.410891294,4,24,37.784869,-122.432832,26,37.791638,-122.391761
212051,24.61378175,5.3,Intro_Pro,9,1,1,0.949460916,0.587138589,2,28,37.7807707,-122.4755623,52,37.762962,-122.401703
212054,77.39344927,5,Go,9,1,1,0.612571429,0.247762965,10,29,37.790226,-122.406267,53,37.761873,-122.469146
212056,23.93968195,4.6,Other,9,1,1,0.990285714,0.174450135,0,89,37.77634,-122.47904,58,37.75714,-122.41164
212061,20.35033755,2.5,Intro_Pro,9,1,1,0.917714286,0.484002454,2,41,37.743998,-122.419564,12,37.777962,-122.423059
212062,18.10541707,4.1,Pro,9,1,1,1,0.401525048,2,1,37.783622,-122.404401,55,37.77744,-122.46494
212064,19.86587657,2.9,Pro,9,1,1,0.899428571,0.278800078,2,26,37.791638,-122.391761,58,37.75714,-122.41164
212066,17.55077223,2,Intro_Pro,9,1,1,0.442857143,0.202124594,2,43,37.77747,-122.433245,47,37.767401,-122.402841
212067,16.87165692,1.7,Other,9,1,1,0.736,0.059841048,0,18,37.757891,-122.390586,91,37.776215,-122.398149
212071,196.0255979,11,Pro,9,1,1,1,0.425964207,14,52,37.762962,-122.401703,85,37.780241,-122.418011
212073,7.341088217,1.2,Pro,9,1,1,0.861142857,0.020382257,2,43,37.77747,-122.433245,80,37.770631,-122.450446
212078,14.61100358,1.4,Other,9,1,1,0.709568733,0.27056969,2,58,37.75714,-122.41164,47,37.767401,-122.402841
212081,19.56827328,2.9,Pro,9,1,1,0.902285714,0.029962973,2,35,37.775745,-122.44145,131,37.762508,-122.398963
