,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,normalized_price
2953,9638144,"Pets Allow, Cozy master bedroom, near Apple/Amazon",8144974,Jerry,,78729,30.446995691615854,-97.76093086956335,Private room,200,1,14,2017-09-17,0.77,1,0,0.27404718693284935
2954,9662584,Summit Place-Downtown Views- Great Outdoor Space,49938993,Chance,,78741,30.24207352799734,-97.73535196596248,Entire home/apt,215,3,52,2018-06-26,2.11,1,140,0.30127041742286753
2955,9677205,Private Room & Bath in 78704,19601593,Chris,,78704,30.24206529296097,-97.76971198690792,Private room,99,2,0,,,1,0,0.09074410163339383
2956,9693101,Lovely Home with great views - POOL/SPA sleeps 14!,50060740,Amy,,78737,30.217373658857852,-98.01377337435578,Entire home/apt,470,2,28,2018-09-02,0.93,2,352,0.764065335753176
2957,9694482,Charming So. Congress Condo,1772707,Natalie,,78704,30.243075404187607,-97.75343298748379,Entire home/apt,71,90,8,2015-12-11,0.24,2,89,0.039927404718693285
2958,9699118,Upscale gated community in westlake,23118875,Ling,,78746,30.26915920966071,-97.81843427994335,Private room,200,1,0,,,1,365,0.27404718693284935
2959,9713167,Tarrytown condo - 2 miles to DT - pool and parking,49129999,Catherine,,78703,30.28758681225907,-97.7716929022906,Entire home/apt,230,2,45,2018-04-07,1.48,1,161,0.32849364791288566
2960,9724988,Modern House on a Creek,40625293,Jamie & Teresa,,78734,30.36848392912086,-97.97060994441523,Entire home/apt,164,1,10,2018-03-29,0.41,1,330,0.20871143375680581
2961,9731312,South Austin rustic,50070695,Mark,,78704,30.251327591546907,-97.75304654180195,Private room,57,1,49,2018-08-18,1.7,1,344,0.014519056261343012
2962,9731339,Private Austin Clarksville Studio,50214619,Ames,,78703,30.27775470332966,-97.75731367898027,Entire home/apt,125,1,134,2018-09-03,4.15,10,82,0.13793103448275862
2963,9740173,Center of Downtown w/ Capitol Views Historic Home,42418122,Emma,,78701,30.272396433030142,-97.74240029917314,Entire home/apt,500,1,45,2018-08-26,1.34,1,365,0.8185117967332124
2964,9753450,Charming 1940s Eastside Home,50305766,Anabel,,78702,30.278017286258358,-97.71916409085371,Entire home/apt,92,1,10,2016-08-21,0.3,1,0,0.0780399274047187
2965,9760021,SUNNY ROOM W/PRIVATE BALCONY,21564620,Debbie,,78704,30.23517185304477,-97.77432108775648,Private room,89,2,21,2018-05-20,0.63,2,365,0.07259528130671507
2966,9773468,2 bedroom and loft 1 mile from SXSW,50389369,Ari,,78705,30.289739407420115,-97.7503986946836,Entire home/apt,300,3,1,2016-03-21,0.03,1,0,0.455535390199637
2967,9778522,East Austin Bungalow for SXSW,30376995,Leah,,78741,30.231350065035485,-97.71908168747144,Private room,80,1,1,2016-03-16,0.03,1,0,0.056261343012704176
2968,9778980,Sunny Garden Bungalow,9123693,Joy,,78745,30.22297445464265,-97.7820398097496,Entire home/apt,75,1,0,,,2,0,0.047186932849364795
2969,9792920,"Spacious, bright 1-bedroom near Town Lake!",14860230,Shayna,,78741,30.240037287584638,-97.71870244265273,Entire home/apt,50,2,6,2018-02-11,0.39,1,0,0.0018148820326678765
2970,9813603,Cozy Riverwalk Apartment,21218778,Adan,,78741,30.24734370344397,-97.73209765620031,Entire home/apt,400,3,7,2017-03-16,0.21,1,0,0.6370235934664247
2971,9813972,Maison De Chévre - 5 Bedroom Retreat,49378489,Robyn,,78746,30.337348708026447,-97.80075089349428,Entire home/apt,600,3,14,2018-04-15,0.48,4,362,1.0
2972,9822958,"Clean, Comfy and Fully Stocked Hyde Park Studio 2",27795608,Sara,,78751,30.299850333389845,-97.72821286147109,Entire home/apt,69,2,79,2018-06-02,2.53,5,296,0.036297640653357534
